Bitrate,Codec,RunTimes,Duration,Idle Power (W),Total Power (W),FFmpeg Power (W),Total Energy (J),Ffmpeg Energy (J),CPU Avg (%),CPU Max (%),Temp Avg (°C),Temp Max (°C),VMAF Mean,Encoded Size(Bytes),Encoded Size(kbps)
100,libx264,1,1.493840,1.30,12.22,10.92,18.260600,16.318608,401.75,743.50,0.0,0.0,6.5371,0,0
100,libx264,1,1.597231,4.71,12.47,7.76,19.931200,12.408242,404.85,705.50,0.0,0.0,6.5371,608469,121.79
100,libx264,2,1.614550,2.79,12.48,9.69,20.163700,15.659106,397.65,726.70,0.0,0.0,,608469,121.79
500,libx264,1,1.757272,.25,11.75,11.50,20.655800,20.216482,440.40,815.20,0.0,0.0,18.3381,2955903,591.67
500,libx264,2,2.124693,.48,14.33,13.85,30.462000,29.442148,459.20,817.00,0.0,0.0,,2955903,591.67
1000,libx264,1,1.791846,.66,13.92,13.26,24.950100,23.767482,466.10,845.60,0.0,0.0,32.2057,5975358,1196.06
1000,libx264,2,1.797182,2.39,13.87,11.48,24.936200,20.640936,436.40,794.20,0.0,0.0,,5975358,1196.06
2000,libx264,1,1.829322,.12,15.96,15.84,29.203200,28.983682,469.65,914.90,0.0,0.0,59.5789,12165914,2435.21
2000,libx264,2,2.112326,1.28,15.12,13.84,31.954500,29.250723,486.90,900.80,0.0,0.0,,12165914,2435.21
3000,libx264,1,1.967646,.24,16.39,16.15,32.256500,31.784265,493.55,955.40,0.0,0.0,74.4051,18352465,3673.55
3000,libx264,2,2.067400,1.51,16.42,14.91,33.951500,30.829726,555.45,941.70,0.0,0.0,,18352465,3673.55
5000,libx264,1,2.314295,2.86,16.68,13.82,38.623200,32.004317,688.30,1024.00,0.0,0.0,88.0437,30754659,6156.06
5000,libx264,2,2.249900,.80,14.84,14.04,33.399000,31.599080,684.43,1006.70,0.0,0.0,,30754659,6156.06
7000,libx264,1,2.296982,.79,17.64,16.85,40.522600,38.707985,709.10,1061.60,0.0,0.0,94.0434,43110350,8629.26
7000,libx264,2,2.371542,.19,15.85,15.66,37.596800,37.146208,695.60,1038.90,0.0,0.0,,43110350,8629.26
10000,libx264,1,2.553271,.44,17.76,17.32,45.364200,44.240761,724.77,1055.50,0.0,0.0,97.7537,61534156,12317.09
10000,libx264,2,2.559214,.86,15.79,14.93,40.434700,38.233776,714.40,1050.40,0.0,0.0,,61534156,12317.09
20000,libx264,1,3.317715,.48,18.86,18.38,62.584400,60.991897,792.73,1039.50,0.0,0.0,99.7870,122238402,24468.07
20000,libx264,2,3.186471,.15,19.23,19.08,61.299300,60.821330,685.93,1055.60,0.0,0.0,,122238402,24468.07
50000,libx264,1,4.332740,.27,19.85,19.58,86.032000,84.862161,819.52,1032.80,0.0,0.0,99.9272,301783691,60407.07
50000,libx264,2,4.332010,2.38,19.80,17.42,85.785900,75.475717,856.78,1071.60,0.0,0.0,,301783691,60407.07
100,libx265,1,5.446310,2.74,16.73,13.99,91.135900,76.213011,545.37,665.20,0.0,0.0,8.6294,568271,113.74
100,libx265,2,5.565329,.16,16.82,16.66,93.634100,92.743648,548.78,692.60,0.0,0.0,,568271,113.74
500,libx265,1,7.451624,.27,23.96,23.69,178.598000,176.586062,829.36,962.20,0.0,0.0,40.3314,3009651,602.43
500,libx265,2,7.641190,1.75,23.62,21.87,180.551000,167.178918,831.97,976.70,0.0,0.0,,3009651,602.43
1000,libx265,1,8.960925,.20,25.11,24.91,225.075000,223.282815,896.94,1029.10,0.0,0.0,60.3856,6078175,1216.64
1000,libx265,2,9.388899,3.26,25.08,21.82,235.534000,204.926190,886.66,1019.80,0.0,0.0,,6078175,1216.64
2000,libx265,1,11.274343,.19,25.97,25.78,292.850000,290.707875,936.64,1060.10,0.0,0.0,79.0933,12256719,2453.38
2000,libx265,2,11.065674,.15,25.98,25.83,287.539000,285.879149,920.11,1050.90,0.0,0.0,,12256719,2453.38
