Codec,Bitrate,File_bytes,Duration_s,Total_Energy_J,Send_Energy_J,Idle_Power_W,Total_Power_W,Send_Power_W,WiFi_TX_bytes
libx264,100,608469,.344649,0,-.179217,.52,0,-.52,
libx264,500,2955903,.445219,.101400,-.713350,1.83,.22,-1.61,
libx264,1000,5975358,.559391,.373590,.009986,.65,.66,.01,
libx264,2000,12165914,.825652,.751940,-.494794,1.51,.91,-.60,
libx264,3000,18352465,1.095588,1.901900,1.113077,.72,1.73,1.01,
libx264,5000,30754659,1.676987,3.693160,2.485730,.72,2.20,1.48,
libx264,7000,43110350,2.183975,4.766810,3.565624,.55,2.18,1.63,
libx264,10000,61534156,2.979243,7.335510,3.045401,1.44,2.46,1.02,
libx264,20000,122238402,5.671812,14.907900,-7.949502,4.03,2.62,-1.41,
libx264,50000,301783691,13.376605,37.342100,27.710945,.72,2.79,2.07,
libx265,100,568271,.306300,0,-.180717,.59,0,-.59,
libx265,500,3009651,.453722,.119640,-1.032813,2.54,.26,-2.28,
libx265,1000,6078175,.566257,.131860,-1.425346,2.75,.23,-2.52,
libx265,2000,12256719,.830673,1.177550,-3.324697,5.42,1.41,-4.01,
libx265,3000,18423970,1.099194,1.427590,.768074,.60,1.29,.69,
libx265,5000,30704511,1.654657,3.034500,1.743868,.78,1.83,1.05,
libx265,7000,42918168,2.166508,4.977630,-3.948382,4.12,2.29,-1.83,
libx265,10000,61237902,2.995054,7.362380,5.804952,.52,2.45,1.93,
libx265,20000,121435110,5.643984,15.177600,7.671102,1.33,2.68,1.35,
libx265,50000,298606877,13.404035,37.741800,-.057578,2.82,2.81,-.01,
libvpx-vp9,100,2099384,.408427,0,-.240971,.59,0,-.59,
libvpx-vp9,500,3407253,.440575,.047800,-.238573,.65,.10,-.55,
libvpx-vp9,1000,6373908,.603701,.280950,-2.296853,4.27,.46,-3.81,
libvpx-vp9,2000,12354152,.839204,.853680,-.740807,1.90,1.01,-.89,
libvpx-vp9,3000,18008955,2.047595,2.814310,-11.273143,6.88,1.37,-5.51,
libvpx-vp9,5000,28248850,1.509858,2.994400,1.197669,1.19,1.98,.79,
libvpx-vp9,7000,37903729,1.942695,3.888790,2.470623,.73,2.00,1.27,
libvpx-vp9,10000,51775745,2.624149,6.481470,4.933223,.59,2.46,1.87,
libvpx-vp9,20000,95441834,4.352971,11.308300,8.478869,.65,2.59,1.94,
libvpx-vp9,50000,221350414,10.013454,28.116300,-7.731865,3.58,2.80,-.78,
libsvtav1,100,1621601,.429814,0,-1.702063,3.96,0,-3.96,
libsvtav1,500,3051741,.462021,0,-1.007205,2.18,0,-2.18,
libsvtav1,1000,6151700,.658678,.385150,-.003470,.59,.58,-.01,
libsvtav1,2000,12298186,.828532,1.031540,.062158,1.17,1.24,.07,
libsvtav1,3000,18443357,1.198377,1.725290,.838492,.74,1.43,.69,
libsvtav1,5000,30646444,1.659860,2.937460,2.124129,.49,1.76,1.27,
libsvtav1,7000,42742319,2.156067,4.406530,-1.328608,2.66,2.04,-.62,
libsvtav1,10000,61154915,3.061150,6.877630,4.796048,.68,2.24,1.56,
libsvtav1,20000,122432591,5.754051,13.998600,10.718791,.57,2.43,1.86,
libsvtav1,50000,305294810,14.099297,35.512200,5.057719,2.16,2.51,.35,
libaom-av1,100,1325822,.336263,0,-.168131,.50,0,-.50,
libaom-av1,500,3230513,.430699,.043190,-.331518,.87,.10,-.77,
libaom-av1,1000,6387451,.592864,.198800,-.571923,1.30,.33,-.97,
libaom-av1,2000,12381068,.832891,1.144720,-.945836,2.51,1.37,-1.14,
libaom-av1,3000,18217895,1.185205,1.679430,1.098680,.49,1.41,.92,
libaom-av1,5000,29277951,2.041395,3.115480,1.992713,.55,1.52,.97,
libaom-av1,7000,38784581,2.200159,4.121060,-.125246,1.93,1.87,-.06,
libaom-av1,10000,52165196,2.537065,5.886050,4.313070,.62,2.32,1.70,
libaom-av1,20000,95967197,4.565952,10.672600,7.841710,.62,2.33,1.71,
libaom-av1,50000,213649094,9.711481,25.099600,15.582349,.98,2.58,1.60,
