Bitrate,Codec,RunTimes,Duration,Idle Power (W),Total Power (W),FFmpeg Power (W),Total Energy (J),Ffmpeg Energy (J),CPU Avg (%),CPU Max (%),Temp Avg (°C),Temp Max (°C),VMAF Mean
100,libx264,1,1.435120177,2.20,138.59,136.39,198.902139,195.744874611,25.15,31.00,16.0,16.0,7.3095
100,libx264,2,1.439747922,2.82,139.92,137.10,201.450290,197.390200860,26.00,31.00,16.0,16.0,
100,libx264,3,1.370481782,4.60,142.77,138.17,195.671497,189.367280803,26.46,30.00,16.0,16.0,
200,libx264,1,1.491036380,2.39,137.42,135.03,204.900659,201.337082052,25.29,30.00,16.0,16.0,11.4916
200,libx264,2,1.439516026,2.43,141.38,138.95,203.524809,200.026785057,26.31,32.00,16.0,16.0,
200,libx264,3,1.445615624,2.43,142.63,140.20,206.201559,202.688713034,26.69,31.00,16.0,16.0,
500,libx264,1,1.457159011,2.82,141.93,139.11,206.825825,202.716636589,30.46,40.00,16.0,16.0,18.7080
500,libx264,2,1.462724928,2.64,145.72,143.08,213.158146,209.296552191,28.69,33.00,16.0,16.0,
500,libx264,3,1.489716824,2.41,141.68,139.27,211.068796,207.478578455,28.21,37.00,16.0,16.0,
700,libx264,1,1.411963114,1.95,152.08,150.13,214.733093,211.979764928,32.92,38.00,16.0,16.0,22.8515
700,libx264,2,1.455803005,3.35,149.40,146.05,217.509087,212.632146934,30.54,39.00,16.0,16.0,
700,libx264,3,1.472544947,2.11,147.28,145.17,216.878778,213.771708162,30.00,36.00,16.0,16.0,
1000,libx264,1,1.475183160,2.75,151.23,148.48,223.105141,219.048387310,32.43,38.00,16.0,16.0,32.5439
1000,libx264,2,1.566605065,2.50,147.09,144.59,230.433187,226.516674338,30.00,40.00,16.0,16.0,
1000,libx264,3,1.433658625,1.96,156.05,154.09,223.726722,220.916751095,35.08,40.00,16.0,16.0,
2000,libx264,1,1.435998511,2.14,165.06,162.92,237.036197,233.963160187,40.54,55.00,16.0,16.0,59.7448
2000,libx264,2,1.553577042,2.28,155.25,152.97,241.206902,237.664746345,34.43,47.00,16.0,16.0,
2000,libx264,3,1.483341450,2.12,160.66,158.54,238.325073,235.180389126,39.29,45.00,16.0,16.0,
3000,libx264,1,1.520782358,2.38,164.53,162.15,250.222320,246.602857988,41.64,54.00,16.0,16.0,74.4594
3000,libx264,2,1.517732347,1.97,167.41,165.44,254.097921,251.107988277,43.14,54.00,16.0,16.0,
3000,libx264,3,1.498548030,2.35,168.34,165.99,252.272486,248.750898130,41.79,53.00,16.0,16.0,
4000,libx264,1,1.512336460,2.67,171.74,169.07,259.740058,255.702119652,43.79,55.00,16.0,16.0,82.8196
4000,libx264,2,1.527342201,2.42,167.19,164.77,255.364154,251.667985874,44.07,52.00,16.0,16.0,
4000,libx264,3,1.496881565,2.02,167.32,165.30,250.463348,247.439647239,45.29,55.00,16.0,16.0,
5000,libx264,1,1.566798037,2.26,170.20,167.94,266.683582,263.142618437,44.40,58.00,16.0,16.0,88.0722
5000,libx264,2,1.571592827,2.77,166.61,163.84,261.843629,257.490316870,44.73,56.00,16.0,16.0,
