Codec,Bitrate,File_bytes,Duration_s,Total_Energy_J,Send_Energy_J,Idle_Power_W,Total_Power_W,Send_Power_W,WiFi_TX_bytes
libx264,100,616728,.546892200,1.934688,.775276536,2.12,3.53,1.41,0
libx264,200,1242328,.407752786,1.715694,1.042901904,1.65,4.20,2.55,0
libx264,500,2953825,.541283822,4.436146,3.212844563,2.26,8.19,5.93,0
libx264,700,4160764,.698093881,3.761404,2.393139994,1.96,5.38,3.42,0
libx264,1000,5980181,.758869889,4.718311,3.504119178,1.60,6.21,4.61,0
libx264,2000,12196935,1.199919133,7.380779,5.148929413,1.86,6.15,4.29,0
libx264,3000,18406648,1.575010527,12.242950,9.880434210,1.50,7.77,6.27,0
libx264,4000,24626275,2.387347496,14.042078,10.508803706,1.48,5.88,4.40,0
libx264,5000,30835397,2.079838447,18.565382,14.946463103,1.74,8.92,7.18,0
libx264,7000,43227259,3.293678887,21.199653,16.950807236,1.29,6.43,5.14,0
libx264,10000,61723331,3.768423055,42.205825,35.611084654,1.75,11.19,9.44,0
libx264,20000,122605420,7.730845738,70.256534,56.109086300,1.83,9.08,7.25,215
libx264,30000,182970709,12.272753712,94.371646,74.735240061,1.60,7.68,6.08,322
libx264,50000,302639506,19.138673867,143.411193,106.473552437,1.93,7.49,5.56,720
libx265,100,563434,.335630593,1.471798,.840812486,1.88,4.38,2.50,0
libx265,200,1153085,.381046355,1.682796,1.099795077,1.53,4.41,2.88,0
libx265,500,3011055,.436290508,3.945913,3.295840144,1.49,9.04,7.55,0
libx265,700,4230714,.561888291,3.872366,2.950869203,1.64,6.89,5.25,0
libx265,1000,6079226,.618473577,5.376634,4.399445749,1.58,8.69,7.11,0
libx265,2000,12257828,1.074971478,7.883830,5.991880199,1.76,7.33,5.57,0
libx265,3000,18423194,1.237389098,13.345119,11.117818624,1.80,10.78,8.98,0
libx265,4000,24561294,1.865349292,16.837177,14.151074020,1.44,9.02,7.58,62
libx265,5000,30706933,2.751541715,17.066180,12.416074502,1.69,6.20,4.51,0
libx265,7000,42923290,2.285818368,29.685960,26.165799714,1.54,12.98,11.44,0
libx265,10000,61237003,4.144680531,33.115271,24.743016328,2.02,7.98,5.96,0
libx265,20000,121424852,7.768909430,62.656883,49.838182441,1.65,8.06,6.41,0
libx265,30000,181125357,10.570446054,98.894217,79.867414103,1.80,9.35,7.55,0
libx265,50000,298572997,17.327621320,149.046859,118.203693051,1.78,8.60,6.82,268
libvpx-vp9,100,2098402,.473717476,2.891106,2.062100417,1.75,6.10,4.35,0
libvpx-vp9,200,2290290,.440998403,2.327569,1.560231779,1.74,5.27,3.53,0
libvpx-vp9,500,3440320,.638941300,4.965319,3.904676442,1.66,7.77,6.11,0
libvpx-vp9,700,4571845,.539650884,5.832871,4.969429586,1.60,10.80,9.20,0
libvpx-vp9,1000,6357775,.626415697,4.909961,4.001658240,1.45,7.83,6.38,0
libvpx-vp9,2000,12305632,1.102363754,8.406167,6.598290444,1.64,7.62,5.98,0
libvpx-vp9,3000,17897602,1.265408129,14.469507,12.128501962,1.85,11.43,9.58,0
libvpx-vp9,4000,23305483,1.446115880,17.959976,15.747418704,1.53,12.41,10.88,0
libvpx-vp9,5000,28245367,1.918052885,17.279253,14.613159490,1.39,9.00,7.61,0
libvpx-vp9,7000,37849771,2.083935834,27.906239,24.092636424,1.83,13.39,11.56,0
libvpx-vp9,10000,51608563,2.927721583,34.236973,29.523341252,1.61,11.69,10.08,0
libvpx-vp9,20000,95336309,5.926639273,52.535327,42.697105807,1.66,8.86,7.20,0
libvpx-vp9,30000,137914008,7.752685138,80.021645,66.764553415,1.71,10.32,8.61,0
libvpx-vp9,50000,220987426,14.310937832,107.317291,84.992227983,1.56,7.49,5.93,0
libsvtav1,100,2008948,.471355019,2.959465,2.129880167,1.76,6.27,4.51,0
libsvtav1,200,2021704,.408482026,2.455499,1.744740275,1.74,6.01,4.27,0
libsvtav1,500,3049320,.503248535,3.922048,3.197370110,1.44,7.79,6.35,0
libsvtav1,700,4275275,.561213288,5.027514,3.944372355,1.93,8.95,7.02,206
libsvtav1,1000,6155253,.602295336,6.191574,4.830386541,2.26,10.27,8.01,0
libsvtav1,2000,12497590,1.013906319,8.727944,7.298336091,1.41,8.60,7.19,0
libsvtav1,3000,18971482,1.439756014,10.659153,8.585904340,1.44,7.40,5.96,0
libsvtav1,4000,24868504,1.481712203,17.599137,14.961689279,1.78,11.87,10.09,0
libsvtav1,5000,31457673,2.342550991,16.334369,13.054797613,1.40,6.97,5.57,0
libsvtav1,7000,43604686,2.563708857,29.165209,25.370919892,1.48,11.37,9.89,0
libsvtav1,10000,62357574,4.193084176,34.939120,28.272116161,1.59,8.33,6.74,0
libsvtav1,20000,123060533,7.689665140,70.222354,56.150266794,1.83,9.13,7.30,0
libsvtav1,30000,184195733,9.798827624,125.061569,106.051843410,1.94,12.76,10.82,62
libsvtav1,50000,306360575,18.734259299,145.079218,116.603143866,1.52,7.74,6.22,106
libaom-av1,100,1300408,.394661317,1.707332,1.040354375,1.69,4.32,2.63,0
libaom-av1,200,1349564,.379510002,1.798824,.971492196,2.18,4.73,2.55,0
libaom-av1,500,1926525,.402343660,2.550348,1.890504398,1.64,6.33,4.69,0
libaom-av1,700,2404194,.452714678,3.634207,2.778576259,1.89,8.02,6.13,0
libaom-av1,1000,3436942,.587028363,5.392442,4.382753216,1.72,9.18,7.46,0
libaom-av1,2000,7094042,1.084325887,6.777022,4.760175851,1.86,6.24,4.38,0
libaom-av1,3000,10467944,.814647105,9.136024,7.531169204,1.97,11.21,9.24,0
libaom-av1,4000,13653095,1.078925722,12.145355,10.483809389,1.54,11.25,9.71,0
libaom-av1,5000,16147712,1.149335683,13.010037,11.148113194,1.62,11.31,9.69,0
libaom-av1,7000,19427278,1.350765295,13.080899,11.000720446,1.54,9.68,8.14,0
libaom-av1,10000,23892006,1.407545837,14.810448,12.290940952,1.79,10.52,8.73,0
libaom-av1,20000,36686137,3.246495503,20.535348,15.503279971,1.55,6.32,4.77,0
libaom-av1,30000,41547260,2.117981226,32.627968,28.857961418,1.78,15.40,13.62,0
libaom-av1,50000,41547260,2.313284727,25.326962,20.839189630,1.94,10.94,9.00,0
libvvenc,100,686587,.351158415,2.151361,1.536833774,1.75,6.12,4.37,0
libvvenc,200,1333952,.379123236,1.741023,1.191294308,1.45,4.59,3.14,0
libvvenc,500,3265879,.459716515,3.427847,2.554385622,1.90,7.45,5.55,0
libvvenc,700,4559026,.546172541,4.463063,3.419873447,1.91,8.17,6.26,0
libvvenc,1000,6471921,.628059441,5.511155,4.669555350,1.34,8.77,7.43,0
libvvenc,2000,12737217,.889759020,10.430637,8.953637027,1.66,11.72,10.06,0
libvvenc,3000,19005898,1.358560513,13.698329,11.184992051,1.85,10.08,8.23,0
libvvenc,4000,25199574,1.732510006,18.975293,15.943400490,1.75,10.95,9.20,0
libvvenc,5000,31492711,2.617150196,21.526435,17.443680695,1.56,8.22,6.66,0
libvvenc,7000,43894501,3.556013380,24.899778,18.996795790,1.66,7.00,5.34,0
libvvenc,10000,61350721,3.809910258,34.052708,27.880653383,1.62,8.93,7.31,0
libvvenc,20000,112134386,6.782810402,58.200779,46.805657525,1.68,8.58,6.90,0
libvvenc,30000,140563052,9.742701251,72.537351,57.241310036,1.57,7.44,5.87,0
libvvenc,50000,157817084,9.667782012,86.771506,69.369498379,1.80,8.97,7.17,0
